Point Id, Type,  Ignore, Held, Num Measures, Ignored Measures
P001, Tie, False, False, 2, 0
P002, Tie, False, False, 2, 0
P003, Tie, False, False, 2, 0
P004, Tie, False, False, 3, 0
P005, Tie, False, False, 3, 0
P006, Tie, False, False, 3, 0
P007, Tie, False, False, 2, 0
P008, Tie, False, False, 2, 0
P009, Tie, False, False, 2, 0
P010, Tie, False, False, 2, 0
P011, Tie, False, False, 2, 0
P012, Tie, False, False, 2, 0
P013, Tie, False, False, 2, 0
P014, Tie, False, False, 2, 0
P015, Tie, False, False, 2, 0
P016, Tie, False, False, 2, 0
P017, Tie, False, False, 2, 0
P018, Tie, False, False, 3, 0
P019, Tie, False, False, 3, 0
P020, Tie, False, False, 3, 0
P021, Tie, False, False, 4, 0
P022, Tie, False, False, 4, 0
P023, Tie, False, False, 4, 0
P024, Tie, False, False, 3, 0
P025, Tie, False, False, 3, 0
P026, Tie, False, False, 3, 0
