Input Cube:  /usgs/cpkgs/isis3.0.0/data/base/testData/isisTruth.cub
Samples:Lines:Bands:  126:126:2
            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20           20
           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39           39
           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59           59
           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79           79
           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98           98
          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118          118
          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138          138
          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158          158
          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177          177
